original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,definition,roots,en_hypernyms,concept,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words
klimaargument,argument,"['argumenten', 'arguments', 'argument', 'argumente', 'argumentes']",argument,n,"['klimaargumenten', 'klimaarguments', 'klimaargument', 'klimaargumente', 'klimaargumentes']","['Prämisse', 'Beweisgrund', 'Beleg', 'Begründung', 'Beweis', 'Argument', 'Grund']",[],['ein rationaler Beweggrund für eine Überzeugung oder eine Handlung'],[],"['rational motive', 'motive', 'motivation', 'need', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],argum,argument,argu,argument,,,,,,[]
klimaarmageddon,armageddon,"['armageddon', 'armageddons']",armageddon,n,"['klimaarmageddon', 'klimaarmageddons']","['Armageddon', 'Inferno', 'Waterloo', 'Super-GAU', 'Unglück', 'Ende', 'Verderben', 'Katastrophe', 'Harmagedon', 'Zusammenbruch', 'Havarie', 'Apokalypse', 'Desaster', 'Abgrund', 'Abaddon', 'Untergang', 'Harmageddon', 'Har-Magedon']","['Hallu', 'Fata Morgana', 'Geisterbild', 'Einbildung', 'Illusion', 'Hirngespinst', 'Gesicht', 'Trugbild', 'Phantom', 'Halluzination', 'Wahnbild', 'Butterland', 'Wahnvorstellung', 'Täuschung', 'Sinnestäuschung', 'Erscheinung', 'Selbsttäuschung', 'Offenbarung', 'reizunabhängige Sinneswahrnehmung', 'Vision']","['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'eine Handlung, die katastrophale Folgen hat', 'jede katastrophal zerstörerische Schlacht']","['Offenbarung', 'Erscheinung', 'Phantom', 'Hirngespinst', 'Einbildung', 'Sinnestäuschung', 'Trugbild', 'Selbsttäuschung', 'Täuschung', 'Wahnvorstellung', 'Halluzination', 'Gesicht', 'Fata Morgana', 'Butterland', 'Illusion', 'Vision', 'Wahnbild', 'Hallu', 'Geisterbild', 'reizunabhängige Sinneswahrnehmung']","['state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['apokalypse', 'untergang']","['apokalypse', 'untergang']",armageddo,armageddon,armageddon,armageddon,,,,,,"['apokalypse', 'untergang']"
klimaasyl,asyl,"['asyle', 'asyl', 'asylen', 'asyls']",asyl,n,"['klimaasyle', 'klimaasyl', 'klimaasylen', 'klimaasyls']","['Schutzort', 'Fluchtpunkt', 'Zufluchtsstätte', 'Wohnheim', 'Zuflucht', 'Zufluchtsort', 'Asyl', 'Sammelunterkunft']",[],"['ein sicherer Ort', 'ein Studentenwohnheim']",[],"['area', 'country', 'region', 'location', 'physical object', 'object', 'physical entity', 'entity']",person,[],[],asyl,asyl,asyl,asyl,,,,,,[]
klimaaufschrei,aufschrei,"['aufschrei', 'aufschreien', 'aufschreie', 'aufschreies', 'aufschreis']",aufschrei,m,"['klimaaufschrei', 'klimaaufschreien', 'klimaaufschreie', 'klimaaufschreies', 'klimaaufschreis']",[],[],[],[],,,[],[],aufschrei,aufschrei,aufschre,aufschrei,,,,,"['aufschrei', 'geschrei']","['aufschrei', 'geschrei']"
klimaaufstand,aufstand,"['aufstandes', 'aufstände', 'aufständen', 'aufstand', 'aufstands', 'aufstande']",aufstand,m,"['klimaaufstandes', 'klimaaufstände', 'klimaaufständen', 'klimaaufstand', 'klimaaufstands', 'klimaaufstande']","['Massenaufstand', 'Tumult', 'viel Aufhebens', 'Revolte', 'Tullus', 'Massenunruhen', 'Aufwiegelung', 'Aufstand', 'unnötige Aufmerksamkeit', 'bürgerkriegsähnliche Zustände', 'unnötiger Aufwand', 'Rabatz', 'Aufheben', 'Ausschreitung', 'Rebellion', 'Proteste', 'Aufstand der Massen', 'Terz', 'Protestaktionen', 'Krawall', 'Welle', 'Theater', 'Unruhe', 'Trara', 'Spektakel', 'Buhei', 'Brimborium', 'Meuterei', 'Gedöns', 'Bohei', 'Aufruhr', 'Massenproteste', 'Lärm', 'Randale', 'Gewese']","['Aufwiegelung', 'Meuterei', 'Aufstand', 'Agitation', 'Aufruhr', 'Revolte', 'Rebellion', 'Hetze']","['Unruhen, meist aus Protest', 'ein wütender Streit', 'gekennzeichnet durch Nervosität und schnelles Erschrecken', 'das Fehlen einer vorhersehbaren Ordnung oder eines Plans']","['Aufstand', 'Aufruhr', 'Rebellion', 'Aufwiegelung', 'Meuterei', 'Revolte', 'Hetze', 'Agitation']","['disturbance', 'movement', 'motility', 'move', 'motion', 'change', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],aufsta,aufstand,aufstand,aufstand,,,,,,[]
klimabankrott,bankrott,"['bankrottes', 'bankrotten', 'bankrotte', 'bankrott', 'bankrotts']",bankrott,m,"['klimabankrottes', 'klimabankrotten', 'klimabankrotte', 'klimabankrott', 'klimabankrotts']","['Ruin', 'Bankrottfall', 'Pleite', 'Insolvenz', 'Konkurs', 'Zahlungseinstellung', 'Illiquidität', 'Zahlungsunfähigkeit', 'Konkursfall', 'Bankrott']",[],"['Unfähigkeit, alle Ihre Schulden bei Fälligkeit zu begleichen']",[],"['insolvency', 'financial condition', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,[],[],bankrott,bankrott,bankrot,bankrott,,,,,,[]
klimabeeinflussung,beeinflussung,"['beeinflussungen', 'beeinflussung']",beeinflussung,f,"['klimabeeinflussungen', 'klimabeeinflussung']","['Wechselwirkung', 'Rückwirkung', 'Konsequenz', 'Fazit', 'Überlagerung', 'Verfälschung', 'Einfluss', 'Ergebnis', 'Reaktion', 'Ausfluss', 'Wirkung', 'Endergebnis', 'Überschneidung', 'Suggestion', 'Effekt', 'Folgeerscheinung', 'Hervorbringung', 'Nachwirkung', 'Verschleierung', 'Herbeiführung', 'Verbrämung', 'Beeinflussung', 'Auswirkung', 'Manipulation', 'Befund', 'Feststellung', 'Folge', 'Quintessenz', 'Beeinträchtigung', 'Einflüstern', 'Ausgang', 'Nahelegung', 'Resultat', 'Interferenz']","['Zuweisung', 'Rückwirkung', 'Konsequenz', 'Fazit', 'Einfluss', 'Ergebnis', 'Resultat', 'Reaktion', 'Verteilung', 'Wirkung', 'Endergebnis', 'Verbreitung', 'Effekt', 'Folgeerscheinung', 'Hervorbringung', 'Nachwirkung', 'Herbeiführung', 'Beeinflussung', 'Auswirkung', 'Auskehrung', 'Befund', 'Feststellung', 'Folge', 'Quintessenz', 'Zuordnung', 'Ausgang', 'Ausfluss']","['Folgen, Konsequenzen einer Handlung oder Unterlassung', 'die Vermischung mit Fremdstoffen; das Produkt der Verfälschung', 'das Eintreten einer Veränderung zum Schlechteren', 'der Akt der Herbeiführung von Hypnose']","['Verbreitung', 'Verteilung', 'Zuordnung', 'Auskehrung', 'Zuweisung', 'Ergebnis', 'Ausgang', 'Wirkung', 'Auswirkung', 'Effekt', 'Folgeerscheinung', 'Konsequenz', 'Ausfluss', 'Folge', 'Nachwirkung', 'Einfluss', 'Reaktion', 'Rückwirkung', 'Hervorbringung', 'Beeinflussung', 'Endergebnis', 'Fazit', 'Resultat', 'Quintessenz', 'Feststellung', 'Befund', 'Herbeiführung']","['phenomenon', 'process', 'physical process', 'physical entity', 'entity']",person,[],[],beeinflussung,beeinflussung,beeinflussung,beeinfluss,,,,,,[]
klimabefürworter,befürworter,"['befürwortern', 'befürworters', 'befürworter']",befürworter,m,"['klimabefürwortern', 'klimabefürworters', 'klimabefürworter']","['Befürworter', 'Fürsprecher', 'Vertreter', 'Verteidiger', 'Apologet', 'Verfechter', 'Anwalt']","['jeder beliebige', 'irgendjemand', 'jemand']","['ein Kämpfer, der einem Angriff standhält']","['jemand', 'irgendjemand', 'jeder beliebige']","['fighter', 'scrapper', 'combatant', 'belligerent', 'battler', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'fighter', 'scrapper', 'combatant', 'belligerent', 'battler', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],befurwor,befürwort,befürwort,befurwort,,,,,,[]
klimabesoffenheit,besoffenheit,['besoffenheit'],besoffenheit,f,['klimabesoffenheit'],[],[],[],[],,,[],[],besoffenhei,besoffenheit,besoffenheit,besoff,,,,,,[]
klimabesorgnis,besorgnis,"['besorgnissen', 'besorgnisse', 'besorgnis']",besorgnis,f,"['klimabesorgnissen', 'klimabesorgnisse', 'klimabesorgnis']","['Vorahnung', 'Vorgefühl', 'Gefühl', 'Missbehagen', 'Unbehagen', 'Unruhe', 'Befürchtung', 'Besorgnis', 'Ahnung', 'Gedanken', 'Unausgeglichenheit', 'Sorge']",[],"['schmerzliche Erwartung', 'ein Gefühl der übermäßigen Sorge']",[],"['expectation', 'outlook', 'prospect', 'belief', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],besorgni,besorgni,besorgn,besorgnis,,,,,,[]
klimabetrug,betrug,"['betrugs', 'betrügen', 'betrug', 'betrüge', 'betruge', 'betruges']",betrug,m,"['klimabetrugs', 'klimabetrügen', 'klimabetrug', 'klimabetrüge', 'klimabetruge', 'klimabetruges']","['Abzocke', 'Seitensprung', 'Fraud', 'abgekartete Sache', 'Beschiss', 'Betrug', 'Nepp', 'Betrügerei', 'Schwindel', 'Schmu', 'Gaunerei', 'krumme Tour', 'abgekartetes Spiel', 'Mauschelei', 'Treulosigkeit', 'Fremdgehen', 'Hochstapelei', 'Bauernfängerei', 'Etikettenschwindel', 'Täuschung', 'Schummelei', 'Manipulation', 'Trickserei', 'Untreue', 'Rosstäuscherei', 'Beschmu', 'Ehebruch']","['Rauheit', 'Unrechtstat', 'Untat', 'krimineller Akt', 'Straftat', 'illegale Handlung', 'Verbrechen', 'Delikt', 'Härte', 'strafbare Handlung']","['der Akt der Täuschung durch eine betrügerische Handlung', 'der Akt der Täuschung', 'die Eigenschaft, betrügerisch zu sein']","['Liegenschaft', 'Grundbesitz', 'Landbesitz', 'Handlung', 'Operation', 'Aktion', 'Tat', 'Unglück', 'Verhängnis', 'Unheil', 'Fluch', 'Geißel', 'Unstern', 'Unsegen']","['fraud', 'criminal offence', 'law-breaking', 'criminal offense', 'crime', 'offence', 'offense', 'transgression', 'evildoing', 'wrongdoing', 'misconduct', 'wrongful conduct', 'actus reus', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],['verbrechen'],betrug,betrug,betrug,betrug,"['betrug', 'betrüger']",,,"['betrug', 'betrüger']",,"['verbrechen', 'betrug', 'betrüger']"
klimabetrüger,betrüger,"['betrügers', 'betrüger', 'betrügern']",betrüger,m,"['klimabetrügers', 'klimabetrüger', 'klimabetrügern']","['Scharlatan', 'Rosstäuscher', 'Abzocker', 'Schwindler', 'Windei', 'Hochstapler', 'Falschspieler', 'schwarzes Schaf', 'Bauernfänger', 'Nepper', 'Betrüger']",[],"['ein Schwindler, der das Vertrauen seines Opfers ausnutzt', 'jemand, der dir etwas vorgaukelt, was nicht wahr ist', 'eine Person, die Sie durch Täuschung oder Betrug betrügt']",[],"['chiseler', 'gouger', 'defrauder', 'chiseller', 'grifter', 'swindler', 'scammer', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'chiseler', 'gouger', 'defrauder', 'chiseller', 'grifter', 'swindler', 'scammer', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['schwindler'],['schwindler'],betrug,betrüger,betrüg,betrug,"['betrug', 'betrüger']",,,"['betrug', 'betrüger']",,"['schwindler', 'betrug', 'betrüger']"
klimabewegtheit,bewegtheit,['bewegtheit'],bewegtheit,f,['klimabewegtheit'],[],[],[],[],,,[],[],bewegthei,bewegtheit,bewegtheit,bewegt,,,,,,[]
klimabibel,bibel,"['bibel', 'bibeln']",bibel,f,"['klimabibel', 'klimabibeln']","['Wort Gottes', 'Buch der Bücher', 'Heilige Schrift', 'Bibel']",[],['die heiligen Schriften der christlichen Religionen'],[],"['religious text', 'religious writing', 'sacred text', 'sacred writing', 'writing', 'written material', 'piece of writing', 'black and white', 'written language', 'written communication', 'communication', 'abstraction', 'abstract entity', 'entity']",action,[],[],bibel,bibel,bibel,bibel,,,,,,[]
klimabigotterie,bigotterie,"['bigotterie', 'bigotterien']",bigotterie,f,"['klimabigotterie', 'klimabigotterien']","['Pharisäertum', 'Hypokrisie', 'Doppelmoral', 'Doppelzüngigkeit', 'Scheinheiligkeit', 'Bigotterie', 'Heuchelei', 'Verlogenheit', 'Hinterfotzigkeit', 'Unaufrichtigkeit']",[],['selbstgefällige Ernsthaftigkeit'],[],"['hypocrisy', 'hollowness', 'falseness', 'insincerity', 'untruthfulness', 'dishonesty', 'unrighteousness', 'immorality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,[],[],bigotterie,bigotteri,bigottery,bigotteri,,,,,,[]
klimabluff,bluff,"['bluff', 'bluffs']",bluff,m,"['klimabluff', 'klimabluffs']","['Sophismus', 'Lügengeschichte', 'Schwindelei', 'Aufschneiderei', 'Gaukelei', 'Verarschung', 'Ammenmärchen', 'Anglerlatein', 'Schwindel', 'Jägerlatein', 'Augenwischerei', 'Finte', 'Inszenierung', 'Gaunerei', 'Märchen', 'Seemannsgarn', 'Ablenkungsmanöver', 'Irreführung', 'Erfindung', 'Etikettenschwindel', 'Sophisma', 'Täuschung', 'Manipulation', 'Veräppelung', 'Trickserei', 'List', 'Bluff', 'Münchhauseniade', 'Flunkerei', 'Vorspiegelung falscher Tatsachen', 'Vorspiegelung', 'Geflunker', 'Verarsche', 'Windei', 'Scheinbeweis', 'Verarscherei', 'Räuberpistole', 'Erdichtung', 'Münchhausiade']","['blauer Dunst', 'Prügel', 'Wumme', 'Bleispritze', 'Engelmacher', 'Pistole', 'Revolver', 'fauler Zauber', 'Meuchelpuffer', 'Ballermann', 'Schießprügel', 'Püster', 'Schießeisen', 'Schießknüppel', 'Gaukelspiel', 'Blendwerk', 'Colt', 'Knarre']","['eine Schöpfung (eine neue Vorrichtung oder ein neues Verfahren), die das Ergebnis von Studien und Experimenten ist', 'der Akt der Täuschung; Täuschung durch Schaffung illusorischer Vorstellungen', 'die Berührung mit den Händen (oder der geschickte Einsatz der Hände) oder durch den Einsatz mechanischer Mittel']","['Kampfgerät', 'Waffe', 'blauer Dunst', 'Gaukelspiel', 'Blendwerk', 'fauler Zauber']","['creation', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,[],[],bluff,bluff,bluff,bluff,,,,,,[]
klimablödsinn,blödsinn,"['blödsinn', 'blödsinns']",blödsinn,m,"['klimablödsinn', 'klimablödsinns']","['Bullshit', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'Kohl', 'Quark', 'Schmonzes', 'Käse', 'Krampf', 'Schmu', 'Quatsch mit Soße', 'Blech', 'Mumpitz', 'Sottise', 'Stuss', 'geistiger Dünnschiss', 'Scheiße', 'Unfug', 'Pipifax', 'Schmarrn', 'Gefasel', 'Kokolores', 'dümmliches Gerede', 'Nonsense', 'Kappes', 'geistiger Durchfall', 'Geschwafel', 'Schwachsinn', 'Schwachfug', 'gequirlte Scheiße', 'Kiki', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Humbug', 'Tinnef', 'Bockmist', 'Fez', 'dummes Zeug', 'saudummes Zeug', 'Pillepalle', 'Mist', 'Scheiß', 'Papperlapapp', 'Unsinn', 'Nonsens', 'Quatsch']","['Gelaber', 'leere Worte', 'Geschwalle', 'Luftblasen', 'leeres Gerede', 'Geblubber', 'langweilige Rede', 'warme Worte', 'Geschwätz', 'hohle Phrasen', 'Gefasel', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Sermon', 'Gewäsch', 'Geplänkel', 'dummes Zeug', 'Geseire', 'Blabla', 'Gerede', 'Geschwurbel', 'Gemunkel']",['unsinniges Gerede oder Schreiben'],"['Tiefe', 'Tiefsinn']","['garbage', 'drivel', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['käse', 'quatsch', 'unfug', 'unsinn']","['gefasel', 'käse', 'quatsch', 'unfug', 'unsinn']",blodsinn,blödsinn,blödsinn,blodsinn,,,,,,"['gefasel', 'käse', 'quatsch', 'unfug', 'unsinn']"
klimabrandstifter,brandstifter,"['brandstiftern', 'brandstifters', 'brandstifter']",brandstifter,m,"['klimabrandstiftern', 'klimabrandstifters', 'klimabrandstifter']","['Brandstifter', 'Feuerleger', 'Feuerteufel', 'Brandleger', 'Zündler', 'Pyromane']","['Verbrecher', 'Schächer', 'Straftäter', 'schwerer Junge', 'Gesetzesbrecher', 'Krimineller', 'Täter', 'kriminelles Element']","['ein Krimineller, der widerrechtlich Feuer legt']","['Verbrecher', 'Straftäter', 'Täter', 'schwerer Junge', 'Schächer', 'Krimineller', 'Gesetzesbrecher', 'kriminelles Element']","['crook', 'malefactor', 'felon', 'outlaw', 'criminal', 'principal', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'crook', 'malefactor', 'felon', 'outlaw', 'criminal', 'principal', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],brandstif,brandstift,brandstift,brandstift,,,,,,[]
klimabremser,bremser,"['bremser', 'bremsers', 'bremsern']",bremser,m,"['klimabremser', 'klimabremsers', 'klimabremsern']","['Anleiter', 'Defaitist', 'Bremser', 'Lehrer', 'Schwarzseher', 'Zweifler', 'Übungsleiter', 'Coach', 'Skeptiker', 'Schwarzmaler', 'Tutor', 'Kursleiter', 'Pessimist', 'Defätist', 'Bedenkenträger', 'Unkenrufer', 'Verhinderer', 'Spielverderber', 'Lehrerin', 'Unheilsprophet']",[],"['jemand, der gewohnheitsmäßig an akzeptierten Überzeugungen zweifelt', 'eine personifizierte Abstraktion, die lehrt', 'ein Bahnangestellter, der für die Bremsen eines Zuges verantwortlich ist']",[],"['intellect', 'intellectual', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'intellect', 'intellectual', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['skeptiker'],['skeptiker'],brem,bremser,brems,brems,,,,,,['skeptiker']
